Food code,Main food description
11553130,"Fruit smoothie juice drink, with dairy"
11560000,Chocolate milk drink
11710000,Infant formula
11710030,"Infant formula, Similac"
11710051,"Infant formula, Similac Alimentum, ready-to-feed"
11710056,"Infant formula, Similac Alimentum, powder, made with water"
11710351,"Infant formula, Similac Advance, ready-to-feed"
11710357,"Infant formula, Similac Advance, powder, made with tap water"
11710358,"Infant formula, Similac Advance, powder, made with bottled water"
11710359,"Infant formula, Similac Advance, powder, made with baby water"
11710371,"Infant formula, Similac Sensitive, ready-to-feed"
11710377,"Infant formula, Similac Sensitive, powder, made with tap water"
11710378,"Infant formula, Similac Sensitive, powder, made with bottled water"
11710379,"Infant formula, Similac Sensitive, powder, made with baby water"
11710381,"Infant formula, Similac for Spit-Up, ready-to-feed"
11710383,"Infant formula, Similac for Spit-Up, powder, made with water"
11710481,"Toddler formula, Similac Go and Grow"
11710605,"Infant formula, Enfamil"
11710621,"Infant formula, Enfamil Premium Newborn, ready-to-feed"
11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water"
11710631,"Infant formula, Enfamil Infant, ready-to-feed"
11710637,"Infant formula, Enfamil Infant, powder, made with tap water"
11710638,"Infant formula, Enfamil Infant, powder, made with bottled water"
11710639,"Infant formula, Enfamil Infant, powder, made with baby water"
11710661,"Infant formula, Enfamil AR, ready-to-feed"
11710669,"Infant formula, Enfamil AR, powder, made with water"
11710671,"Infant formula, Enfamil Gentlease, ready-to-feed"
11710677,"Infant formula, Enfamil Gentlease, powder, made with tap water"
11710678,"Infant formula, Enfamil Gentlease, powder, made with bottled water"
11710679,"Infant formula, Enfamil Gentlease, powder, made with baby water"
11710689,"Toddler formula, Enfamil Enfagrow"
11710801,"Toddler formula, PediaSure"
11710807,"Toddler formula, Nido Kinder"
11710810,"Toddler formula, store brand, beginning or next stage"
11710815,"Toddler formula, store brand, pediatric shake"
11710905,"Infant formula, Gerber"
11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed"
11710917,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water"
11710918,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water"
11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water"
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2"
11710930,"Toddler formula, Gerber Good Start, Stage 3"
11710935,"Infant formula, premature, powder, made with water"
11710945,"Infant formula, premature, ready-to-feed"
11710954,"Infant formula, organic, powder, made with water"
11710955,"Infant formula, organic, ready-to-feed"
11710967,"Infant formula, store brand, advantage or tender, powder, made with tap water"
11710968,"Infant formula, store brand, advantage or tender, powder, made with bottled water"
11710969,"Infant formula, store brand, advantage or tender, powder, made with baby water"
11710970,"Infant formula, store brand, gentle or sensitivity"
11710980,"Infant formula, store brand, added rice"
11720311,"Infant formula, Enfamil ProSobee, ready-to-feed"
11720317,"Infant formula, Enfamil ProSobee, powder, made with tap water"
11720318,"Infant formula, Enfamil ProSobee, powder, made with bottled water"
11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water"
11720411,"Infant formula, Similac Isomil Soy, ready-to-feed"
11720417,"Infant formula, Similac Isomil Soy, powder, made with tap water"
11720418,"Infant formula, Similac Isomil Soy, powder, made with bottled water"
11720419,"Infant formula, Similac Isomil Soy, powder, made with baby water"
11720430,"Infant formula, Similac for Diarrhea"
11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed"
11720617,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water"
11720618,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water"
11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water"
11720809,"Infant formula, store brand, soy"
11740311,"Infant formula, Enfamil Nutramigen, ready-to-feed"
11740313,"Infant formula, Enfamil Nutramigen, powder, made with water"
11740401,"Infant formula, Enfamil Pregestimil, ready-to-feed"
11740403,"Infant formula, Enfamil Pregestimil, powder, made with water"
11740405,"Infant formula, amino acids"
11740560,"Infant formula, low iron"
11810000,"Milk, dry, not reconstituted, not specified as to fat content"
11813000,"Milk, dry, not reconstituted, fat free (skim)"
11825000,"Whey, sweet, dry"
11830150,"Cocoa powder, not reconstituted"
11830160,"Chocolate beverage powder, dry mix, not reconstituted"
11830165,"Chocolate beverage powder, light, dry mix, not reconstituted"
11830260,"Milk, malted, dry mix, not reconstituted"
11830400,"Strawberry beverage powder, dry mix, not reconstituted"
12100100,"Cream, not specified as to light, heavy, or half and half"
12110100,"Cream, light"
12120100,"Cream, half and half"
12120106,"Cream, half and half, flavored"
12120110,"Cream, half and half, fat free"
12130100,"Cream, heavy"
12140000,"Cream, whipped"
12200100,Coffee creamer
12210200,"Coffee creamer, liquid"
12210210,"Coffee creamer, liquid, flavored"
12210260,"Coffee creamer, liquid, fat free"
12210270,"Coffee creamer, liquid, fat free, flavored"
12210280,"Coffee creamer, liquid, fat free, sugar free, flavored"
12210310,"Coffee creamer, liquid, sugar free, flavored"
12210400,"Coffee creamer, powder"
12210420,"Coffee creamer, powder, flavored"
12210430,"Coffee creamer, powder, fat free"
12210440,"Coffee creamer,powder, fat free, flavored"
12210505,"Coffee creamer,powder, sugar free, flavored"
12210520,"Coffee creamer, soy, liquid"
12220200,Whipped topping
12220270,"Whipped topping, fat free"
12220280,"Whipped topping, sugar free"
12310100,"Sour cream, regular"
12310350,"Sour cream, light"
12310370,"Sour cream, fat free"
12320100,"Sour cream, imitation"
12350010,Dip
12350200,"Chipotle dip, regular"
12350205,"Chipotle dip, light"
12350220,"Onion dip, regular"
12350225,"Onion dip, light"
12350230,"Ranch dip, regular"
12350235,"Ranch dip, light"
12350240,"Spinach dip, regular"
12350245,"Spinach dip, light"
12350250,"Vegetable dip, regular"
12350255,"Vegetable dip, light"
13110000,Ice cream
13110100,"Ice cream, vanilla"
13110102,"Ice cream, vanilla, with additional ingredients"
13110110,"Ice cream, chocolate"
13110112,"Ice cream, chocolate, with additional ingredients"
13110200,"Ice cream, soft serve, vanilla"
13110210,"Ice cream, soft serve, chocolate"
13110460,"Gelato, vanilla"
13110470,"Gelato, chocolate"
13120050,"Ice cream bar, vanilla"
13120100,"Ice cream bar, vanilla, chocolate coated"
13120110,Ice cream candy bar
13120140,"Ice cream bar, chocolate"
13120500,"Ice cream sandwich, vanilla"
13120510,"Ice cream sandwich, chocolate"
13120550,Ice cream cookie sandwich
13120730,"Ice cream cone, scooped, vanilla"
13120735,"Ice cream cone, scooped, vanilla, waffle cone"
13120740,Ice cream cone
13120770,"Ice cream cone, scooped, chocolate"
13120775,"Ice cream cone, scooped, chocolate, waffle cone"
13120782,"Ice cream cone, soft serve, vanilla"
13120784,"Ice cream cone, soft serve, chocolate"
13120786,"Ice cream cone, soft serve, vanilla, waffle cone"
13120788,"Ice cream cone, soft serve, chocolate, waffle cone"
13120790,"Ice cream cone, vanilla, prepackaged"
13120792,"Ice cream cone, chocolate, prepackaged"
13120800,"Ice cream soda, flavors other than chocolate"
13120810,"Ice cream soda, chocolate"
13121000,Ice cream sundae
13121100,"Ice cream sundae, fruit topping"
13121120,Banana split
13121300,"Ice cream sundae, hot fudge topping"
13121400,"Ice cream sundae, caramel topping"
13126000,"Ice cream, fried"
13130100,Light ice cream
13130300,"Light ice cream, vanilla"
13130310,"Light ice cream, chocolate"
13130700,"Soft serve, blended with candy or cookies, from fast food"
13135000,"Light ice cream sandwich, vanilla"
13135010,"Light ice cream sandwich, chocolate"
13140000,"Light ice cream bar, vanilla"
13140100,"Light ice cream bar, vanilla, chocolate coated"
13140115,"Light ice cream bar, chocolate"
13140700,Creamsicle
13140900,Fudgesicle
13142100,"Light ice cream cone, vanilla, prepackaged"
13142110,"Light ice cream cone, chocolate, prepackaged"
13150000,"Sherbet, all flavors"
13161600,"Fudgesicle, light"
13200110,"Pudding, chocolate"
13210110,"Pudding, bread"
13210280,"Pudding, flavors other than chocolate"
13210300,Custard
13210350,Flan
13210370,Creme brulee
13210410,"Pudding, rice"
13210450,"Firni, Indian pudding"
13210520,"Pudding, tapioca, made from dry mix"
13220110,"Pudding, flavors other than chocolate, made from dry mix"
13220120,"Pudding, chocolate, made from dry mix"
13220210,"Pudding, flavors other than chocolate, made from dry mix, sugar free"
13220220,"Pudding, chocolate, made from dry mix, sugar free"
13230110,"Pudding, flavors other than chocolate, ready-to-eat"
13230120,"Pudding, flavors other than chocolate, ready-to-eat, sugar free"
13230130,"Pudding, chocolate, ready-to-eat"
13230140,"Pudding, chocolate, ready-to-eat, sugar free"
13230500,"Pudding, tapioca, ready-to-eat"
13241000,Banana pudding
13250000,Mousse
13252200,Dulce de leche
13252500,"Barfi or Burfi, Indian dessert"
13252590,Trifle
13252600,Tiramisu
13411000,White sauce or gravy
14010000,Cheese
14101010,"Cheese, Blue or Roquefort"
14102010,"Cheese, Brick"
14103010,"Cheese, Camembert"
14103020,"Cheese, Brie"
14104100,"Cheese, Cheddar"
14104110,"Cheese, Cheddar, reduced fat"
14104115,"Cheese, Cheddar, nonfat or fat free"
14104200,"Cheese, Colby"
14104250,"Cheese, Colby Jack"
14104400,"Cheese, Feta"
14104600,"Cheese, Fontina"
14104700,"Cheese, goat"
14105010,"Cheese, Gouda or Edam"
14105200,"Cheese, Gruyere"
14106010,"Cheese, Limburger"
14106200,"Cheese, Monterey"
14106500,"Cheese, Monterey, reduced fat"
14107010,"Cheese, Mozzarella"
14107030,"Cheese, Mozzarella, part skim"
14107040,"Cheese, Mozzarella, reduced sodium"
14107060,"Cheese, Mozzarella, nonfat or fat free"
14107200,"Cheese, Muenster"
14107250,"Cheese, Muenster, reduced fat"
14108010,"Cheese, Parmesan, dry grated"
14108015,"Cheese, Parmesan, dry grated, reduced fat"
14108020,"Cheese, Parmesan, hard"
14108060,"Cheese, Parmesan, dry grated, fat free"
14108200,"Cheese, Port du Salut"
14108400,"Cheese, Provolone"
14108420,"Cheese, provolone, reduced fat"
14109010,"Cheese, Swiss"
14109020,"Cheese, Swiss, reduced sodium"
14109030,"Cheese, Swiss, reduced fat"
14109040,"Cheese, Swiss, nonfat or fat free"
14110010,"Cheese, Cheddar, reduced sodium"
14110050,"Cheese, paneer"
14120010,"Cheese, Mexican blend"
14120020,"Cheese, Mexican blend, reduced fat"
14131000,"Queso Anejo, aged Mexican cheese"
14131500,Queso Asadero
14133000,Queso Fresco
14134000,Queso cotija
14200100,"Cheese, cottage"
14201010,"Cheese, cottage, creamed, large or small curd"
14201200,"Cottage cheese, farmer's"
14201500,"Cheese, Ricotta"
14202010,"Cheese, cottage, with fruit"
14202020,"Cheese, cottage, with vegetables"
14203010,"Cheese, cottage, dry curd"
14203020,"Cheese, cottage, salted, dry curd"
14203510,Puerto Rican white cheese
14204010,"Cheese, cottage, low fat"
14204020,"Cheese, cottage, lowfat, with fruit"
14206010,"Cheese, cottage, lowfat, low sodium"
14207010,"Cheese, cottage, lowfat, lactose reduced"
14301010,"Cream cheese, regular, plain"
14301100,"Cream cheese, regular, flavored"
14303010,"Cream cheese, light"
14410100,"Cheese, American and Swiss blends"
14410110,"Cheese, American"
14410120,"Cheese, American, reduced fat"
14410130,"Cheese, American, nonfat or fat free"
14410210,"Cheese, American, reduced sodium"
14410330,"Cheese spread, American or Cheddar cheese base, reduced fat"
14410380,"Cream cheese spread, fat free"
14410500,"Cheese, processed cheese food"
14410600,"Cheese, processed, with vegetables"
14410620,"Cheese,  with wine"
14420100,"Cheese spread, American or Cheddar cheese base"
14420160,"Cheese spread, Swiss cheese base"
14420200,"Cheese spread, cream cheese, regular"
14420210,"Cheese spread, cream cheese, light"
14420300,"Cheese spread, pressurized can"
14502000,Imitation cheese
14610200,"Cheese, cottage cheese, with gelatin dessert"
14610210,"Cheese, cottage cheese, with gelatin dessert and fruit"
14610250,"Cheese, cottage cheese, with gelatin dessert and vegetables"
14610520,Cheese ball
14620110,Artichoke dip
14620115,Spinach and artichoke dip
14620130,Seafood dip
14620150,Cheese dip with chili pepper
14620200,Cheese dip
14620300,Topping from cheese pizza
14620310,Topping from vegetable pizza
14620320,Topping from meat pizza
14620330,Topping from meat and vegetable pizza
14630100,Cheese fondue
14630200,Cheese souffle
14630300,Welsh rarebit
14640000,Cheese sandwich
14640002,"Cheese sandwich, American cheese, on white bread"
14640004,"Cheese sandwich, American cheese, on wheat bread"
14640008,"Cheese sandwich, cheddar cheese, on white bread"
14640010,"Cheese sandwich, cheddar cheese, on wheat bread"
14640014,"Cheese sandwich, reduced fat cheese, on white bread"
14640016,"Cheese sandwich, reduced fat cheese, on wheat bread"
14640100,Grilled cheese sandwich
14640105,"Grilled cheese sandwich, American cheese, on white bread"
14640110,"Grilled cheese sandwich, American cheese, on wheat bread"
14640125,"Grilled cheese sandwich, cheddar cheese, on white bread"
14640130,"Grilled cheese sandwich, cheddar cheese, on wheat bread"
14640155,"Grilled cheese sandwich, reduced fat cheese, on white bread"
14640160,"Grilled cheese sandwich, reduced fat cheese, on wheat bread"
14650100,Cheese sauce
14650160,Alfredo sauce
14650165,Alfredo sauce with added vegetables
14650170,Alfredo sauce with meat
14650175,Alfredo sauce with meat and added vegetables
14650180,Alfredo sauce with poultry
14650185,Alfredo sauce with poultry and added vegetables
14650190,Alfredo sauce with seafood
14650195,Alfredo sauce with seafood and added vegetables
14660200,"Mozzarella sticks, breaded, baked, or fried"
14670000,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing"
14710100,"Cheddar cheese soup, home recipe, canned or ready-to-serve"
20000000,Meat
20000200,"Meat, ground"
20000300,Baby Toddler meat
21000100,Beef
21001000,"Steak, not specified as to type of meat, not specified as to fat eaten"
21101000,"Beef, steak"
21101140,"Beef, steak, chuck"
21101150,"Beef, steak, cube"
21101160,"Beef, steak, flank"
21101170,"Beef, steak, ribeye, not specified as to fat eaten"
21101180,"Beef, steak, ribeye, lean and fat eaten"
21101190,"Beef, steak, ribeye, lean only eaten"
21102140,"Beef, steak, round"
21102150,"Beef, steak, sirloin, not specified as to fat eaten"
21102160,"Beef, steak, sirloin, lean and fat eaten"
21102170,"Beef, steak, sirloin, lean only eaten"
21102180,"Beef, steak, strip, not specified as to fat eaten"
21102190,"Beef, steak, strip, lean and fat eaten"
21103140,"Beef, steak, strip, lean only eaten"
21103150,"Beef, steak, T-bone, not specified as to fat eaten"
21103160,"Beef, steak, T-bone,  lean and fat eaten"
21103170,"Beef, steak, T-bone, lean only eaten"
21103180,"Beef, steak, tenderloin"
21104110,"Beef, steak, country fried"
21301000,"Beef, oxtails"
21302000,"Beef, neck bones"
21304200,"Beef, shortribs"
21305000,"Beef, cow head"
21401000,"Beef, roast"
21407000,"Beef, pot roast"
21410000,"Beef, stew meat"
21416000,"Beef, corned"
21417100,"Beef, brisket"
21420100,"Beef, sandwich steak"
21500000,"Beef, ground, raw"
21500100,"Beef, ground"
21500310,"Beef, ground, patty"
21601000,"Beef, bacon, cooked"
21601010,"Beef, bacon, reduced sodium, cooked"
21602000,"Beef, dried, chipped, uncooked"
21602010,"Beef, dried, chipped, cooked in fat"
21602100,Beef jerky
21701010,Baby Toddler beef
22000100,Pork
22002000,"Pork, ground"
22002050,"Pork, carnitas"
22002800,Pork jerky
22101000,"Pork, chop, not specified as to fat eaten"
22101010,"Pork, chop, lean and fat eaten"
22101020,"Pork, chop, lean only eaten"
22101300,"Pork, chop, coated, not specified as to fat eaten"
22101310,"Pork, chop, coated, lean and fat eaten"
22101320,"Pork, chop, coated, lean only eaten"
22101330,"Pork, chop, stuffed"
22201100,"Pork, steak, not specified as to fat eaten"
22201110,"Pork, steak, lean and fat eaten"
22201120,"Pork, steak, lean only eaten"
22201400,"Pork, steak, coated"
22210300,"Pork, tenderloin"
22311000,Ham
22311450,"Ham, prosciutto"
22311500,"Ham, canned"
22321110,"Ham, ground"
22400100,"Pork, roast"
22402510,"Fried pork chunks, Puerto Rican style"
22431000,"Pork, roll"
22501010,"Canadian bacon, cooked"
22600100,"Bacon, not specified as to type of meat, cooked"
22600110,"Bacon, not specified as to type of meat, reduced sodium, cooked"
22600200,"Pork bacon, not specified as to fresh, smoked or cured, cooked"
22600210,"Pork bacon, not specified as to fresh, smoked or cured, reduced sodium, cooked"
22601000,"Pork bacon, smoked or cured, cooked"
22601040,"Bacon or side pork, fresh, cooked"
22602010,"Pork bacon, smoked or cured, reduced sodium, cooked"
22621100,"Fat back, cooked"
22700000,Ribs
22701000,"Pork, ribs"
22704010,"Pork, cracklings"
22705010,"Pork, ears"
22706010,"Pork, bones"
22707010,"Pork, pig's feet"
22707020,"Pork, pig's feet, pickled"
22708010,"Pork, ham hocks"
22708020,"Pork, belly"
22709010,Pork skin rinds
22810010,Baby Toddler ham
22820000,Baby Toddler meat stick
23000100,"Lamb, not specified as to cut"
23101000,"Lamb, chop"
23132000,"Lamb, ground"
23150100,Goat
23201010,"Veal, chop"
23220010,"Veal, ground"
23220020,Mock chicken legs
23310000,Rabbit
23321000,Venison
23321200,"Venison, steak"
23321900,Venison/deer jerky
23322100,Venison sausage
23323100,Moose
23323500,Bear
23324100,Caribou
23326100,Bison
23331100,Groundhog
23332100,Opossum
23333100,Squirrel
23334100,Beaver
23335100,Raccoon
23340100,Armadillo
23345100,Wild pig
23350100,Ostrich
24100000,"Chicken, not specified as to part and cooking method, not specified as to skin eaten"
24100010,"Chicken, not specified as to part and cooking method, skin eaten"
24100020,"Chicken, not specified as to part and cooking method, skin not eaten"
24102000,"Chicken, not specified as to part, baked, broiled, or roasted, not specified as to skin eaten"
24102010,"Chicken, not specified as to part, baked, broiled, or roasted, skin eaten"
24102020,"Chicken, not specified as to part, baked, broiled, or roasted, skin not eaten"
24102050,"Chicken, not specified as to part, rotisserie, not specified as to skin eaten"
24102060,"Chicken, not specified as to part, rotisserie, skin eaten"
24102070,"Chicken, not specified as to part, rotisserie, skin not eaten"
24103000,"Chicken, not specified as to part, stewed, not specified as to skin eaten"
24103010,"Chicken, not specified as to part, stewed, skin eaten"
24103020,"Chicken, not specified as to part, stewed, skin not eaten"
24103050,"Chicken, not specified as to part, grilled without sauce, not specified as to skin eaten"
24103055,"Chicken, not specified as to part, grilled without sauce, skin eaten"
24103060,"Chicken, not specified as to part, grilled without sauce, skin not eaten"
24103070,"Chicken, not specified as to part, grilled with sauce, not specified as to skin eaten"
24103075,"Chicken, not specified as to part, grilled with sauce, skin eaten"
24103080,"Chicken, not specified as to part, grilled with sauce, skin not eaten"
24104049,"Chicken, not specified as to part, sauteed, skin eaten"
24104051,"Chicken, not specified as to part, sauteed, skin not eaten"
24107070,"Chicken, not specified as to part, fried, coated, skin / coating eaten"
24107071,"Chicken, not specified as to part, fried, coated, skin / coating not eaten"
24107080,"Chicken, not specified as to part, baked, coated, skin / coating eaten"
24107081,"Chicken, not specified as to part, baked, coated, skin / coating not eaten"
24120110,"Chicken breast, not specified as to cooking method, skin eaten"
24120120,"Chicken breast, not specified as to cooking method, skin not eaten"
24122130,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw"
24122131,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw"
24122140,"Chicken breast, baked or broiled, skin eaten, from pre-cooked"
24122141,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked"
24122150,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant"
24122151,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant"
24122160,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw"
24122161,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw"
24122170,"Chicken breast, rotisserie, skin eaten"
24122171,"Chicken breast, rotisserie, skin not eaten"
24123110,"Chicken breast, stewed, skin eaten"
24123120,"Chicken breast, stewed, skin not eaten"
24123300,"Chicken breast, grilled without sauce, skin eaten"
24123301,"Chicken breast, grilled without sauce, skin not eaten"
24123310,"Chicken breast, grilled with sauce, skin eaten"
24123311,"Chicken breast, grilled with sauce, skin not eaten"
24124200,"Chicken breast, sauteed, skin eaten"
24124201,"Chicken breast, sauteed, skin not eaten"
24127200,"Chicken breast, fried, coated, skin / coating eaten, from raw"
24127201,"Chicken breast, fried, coated, skin / coating not eaten, from raw"
24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw"
24127210,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked"
